Method,Name,Error,Occurrences
POST,/api/v1/wallets/de11f7aa-ce7b-433f-954d-c25b2e49826c/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/de11f7aa-ce7b-433f-954d-c25b2e49826c/operation/'),1
POST,/api/v1/wallets/ff088208-9e62-4dd5-bdf6-1e05dc7f2fa9/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/ff088208-9e62-4dd5-bdf6-1e05dc7f2fa9/operation/'),1
GET,/api/v1/wallets/7fe61987-4d21-4745-b85f-db6f5b4665a1/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/14ac00c1-d8fe-4680-8660-906751c93ec8/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/14ac00c1-d8fe-4680-8660-906751c93ec8/operation/'),1
POST,/api/v1/wallets/bea6081b-c0b8-497c-a73a-eec2096b49e9/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/f457e901-1cc4-487b-9ca4-69097adbc02d/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/f457e901-1cc4-487b-9ca4-69097adbc02d/operation/'),1
POST,/api/v1/wallets/decc0664-dc41-4ec0-a884-e39179123c3c/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/decc0664-dc41-4ec0-a884-e39179123c3c/operation/'),1
POST,/api/v1/wallets/ef3402d9-471e-420c-b6f9-6515388bc5e5/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/ef3402d9-471e-420c-b6f9-6515388bc5e5/operation/'),1
POST,/api/v1/wallets/30f52344-d226-4240-9a4c-96e26d8caca5/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/30f52344-d226-4240-9a4c-96e26d8caca5/operation/'),1
POST,/api/v1/wallets/d6ad7d22-ff5c-4e54-8d0a-e5476c4b83ef/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/d6ad7d22-ff5c-4e54-8d0a-e5476c4b83ef/operation/'),1
POST,/api/v1/wallets/e374add4-cafe-436d-81b3-b5ec17b35c7a/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/247a235b-c244-47ac-80d3-cc1cd5783822/operation/,"ConnectionResetError(104, 'Connection reset by peer')",1
POST,/api/v1/wallets/600808e4-4c44-4db0-a946-5110b92f7e4b/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/600808e4-4c44-4db0-a946-5110b92f7e4b/operation/'),1
POST,/api/v1/wallets/08612afe-6213-4d89-a7f5-ae78c2f0aac2/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/08612afe-6213-4d89-a7f5-ae78c2f0aac2/operation/'),1
POST,/api/v1/wallets/72c118e5-e041-4230-bb18-af56f4a87c4f/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/72c118e5-e041-4230-bb18-af56f4a87c4f/operation/'),1
POST,/api/v1/wallets/a411ba6a-0f70-40f0-9490-364bc0af06e1/operation/,HTTPError('400 Client Error: Bad Request for url: /api/v1/wallets/a411ba6a-0f70-40f0-9490-364bc0af06e1/operation/'),1
